-5013,-9843,-15025,-20287,-25428,-30286,-35168,-40163,-45326,-50068
-10081,-20002,-30264,-40394,-50873,-60967,-70864,-80688,-91061,-100541
-14894,-29720,-44946,-60035,-75483,-90204,-104965,-119572,-135096,-149516
-19770,-40629,-60726,-80916,-101362,-121748,-141192,-160967,-181341,-200594
-24335,-50390,-75436,-100690,-125755,-151068,-175117,-199616,-225088,-250112
-28750,-59523,-89463,-119895,-149933,-180379,-209658,-239128,-269282,-299348
-33481,-69214,-104209,-139191,-173955,-209569,-243403,-277908,-313205,-348306
-38855,-79782,-119899,-160048,-200259,-240538,-279693,-318953,-359115,-398942
-43756,-89790,-134518,-179670,-225089,-270307,-314516,-358679,-403559,-448587
-48216,-98866,-148900,-199024,-249166,-299368,-348432,-397695,-447078,-497145
