-745,-1230,-1814,-2491,-2909,-3549,-4179,-4793,-5555,-6148,-6809,-7439,-8186,-8788,-9515,-10115,-10925,-11486,-12088,-12805,-13476,-14020,-14536,-15156,-15812,-16498,-17139,-17742,-18427,-19168,-19706,-20229,-20815,-21247,-21885,-22641,-23260,-23897,-24499,-25187
-1411,-2638,-3790,-5013,-6056,-7302,-8720,-9843,-11192,-12320,-13686,-15025,-16444,-17497,-18908,-20287,-21764,-23034,-24140,-25428,-26649,-27878,-28884,-30286,-31419,-32805,-33941,-35168,-36542,-37766,-38949,-40163,-41472,-42561,-43915,-45326,-46479,-47569,-48765,-50068
-2146,-4036,-5950,-7759,-9392,-11273,-13214,-14854,-16747,-18429,-20519,-22412,-24179,-25762,-27916,-30136,-32343,-34269,-35905,-37953,-39805,-41664,-43303,-45458,-47016,-48969,-50589,-52453,-54404,-56268,-58109,-59758,-61549,-63259,-65190,-67491,-69248,-70837,-72621,-74559
-2753,-5285,-7761,-10081,-12379,-15246,-17764,-20002,-22611,-24842,-27633,-30264,-32650,-34885,-37548,-40394,-43258,-45978,-48255,-50873,-53258,-55781,-57913,-60967,-63337,-66069,-68353,-70864,-73430,-75825,-78284,-80688,-83250,-85666,-88251,-91061,-93319,-95615,-97946,-100541
-3372,-6518,-9599,-12410,-15352,-18847,-22029,-24865,-28249,-31028,-34381,-37796,-40904,-43742,-47009,-50441,-53862,-57103,-60097,-63382,-66384,-69412,-72069,-75699,-78736,-82190,-85272,-88302,-91475,-94273,-97497,-100411,-103748,-106803,-109960,-113298,-116205,-119226,-122282,-125381
-3972,-7719,-11518,-14894,-18395,-22477,-26303,-29720,-33603,-37109,-40992,-44946,-48618,-51971,-55898,-60035,-64174,-67993,-71578,-75483,-79060,-82804,-86067,-90204,-93747,-97612,-101223,-104965,-108804,-112167,-116063,-119572,-123632,-127284,-131198,-135096,-138537,-142288,-145814,-149516
-4728,-8901,-13188,-17164,-21690,-26501,-31062,-35168,-39578,-43565,-48152,-52787,-57201,-61119,-65636,-70434,-75116,-79482,-83710,-88212,-92424,-96760,-100714,-105535,-109661,-114095,-118158,-122502,-127010,-130903,-135450,-139796,-144296,-148725,-153297,-157829,-161936,-166391,-170425,-174823
-5356,-10074,-15233,-19770,-25044,-30526,-35847,-40629,-45592,-50191,-55506,-60726,-65872,-70474,-75530,-80916,-86212,-91261,-96093,-101362,-106396,-111472,-116069,-121748,-126339,-131497,-136178,-141192,-146327,-150764,-155971,-160967,-165950,-170987,-176030,-181341,-185890,-191007,-195616,-200594
-5941,-11349,-17143,-22098,-28020,-34118,-39981,-45665,-51221,-56336,-62160,-67936,-73715,-78794,-84393,-90371,-96266,-101777,-107149,-112967,-118527,-124283,-129424,-135705,-140874,-146507,-151882,-157447,-163011,-168013,-173789,-179570,-185051,-190626,-196295,-202341,-207721,-213655,-218847,-224317
-6350,-12322,-18788,-24335,-30914,-37534,-44010,-50390,-56701,-62595,-69092,-75436,-81995,-87782,-94053,-100690,-107194,-113375,-119322,-125755,-131994,-138301,-144169,-151068,-156795,-162985,-169059,-175117,-181327,-187021,-193487,-199616,-205820,-212064,-218506,-225088,-231247,-237820,-243911,-250112
-6923,-13518,-20477,-26473,-33586,-40736,-47678,-54787,-61722,-68360,-75306,-82204,-89332,-95811,-102648,-110066,-117185,-123958,-130531,-137723,-144626,-151550,-157986,-165589,-171896,-178736,-185441,-192142,-198933,-205201,-212201,-219007,-225590,-232410,-239455,-246707,-253549,-260613,-267343,-274240
-7488,-14543,-22080,-28750,-36508,-44275,-51794,-59523,-67039,-74382,-82038,-89463,-97198,-104233,-111758,-119895,-127580,-135018,-142291,-149933,-157492,-165111,-172150,-180379,-187280,-194860,-202278,-209658,-217237,-224235,-231799,-239128,-246354,-253642,-261355,-269282,-276793,-284433,-291812,-299348
-8197,-15961,-24086,-31398,-39622,-47975,-56297,-64663,-73009,-80960,-89244,-97416,-105708,-113353,-121497,-130121,-138303,-146396,-154403,-162427,-170571,-178918,-186604,-195565,-203056,-211209,-219257,-227435,-235733,-243278,-251417,-259443,-267440,-275235,-283689,-292314,-300410,-308499,-316513,-324638
-8749,-17183,-25738,-33481,-42313,-51329,-60335,-69214,-78012,-86594,-95399,-104209,-112996,-121341,-130088,-139191,-148077,-156715,-165288,-173955,-182784,-191798,-199959,-209569,-217720,-226325,-234889,-243403,-252215,-260378,-269238,-277908,-286471,-294782,-303928,-313205,-322008,-330744,-339446,-348306
-9358,-18596,-27848,-36304,-45770,-55568,-65243,-74791,-84430,-93718,-103030,-112448,-121876,-130852,-140208,-150010,-159679,-169121,-178254,-187816,-197149,-206638,-215373,-225678,-234351,-243496,-252672,-262024,-271445,-280162,-289617,-298774,-307945,-316732,-326609,-336509,-345826,-354946,-364378,-373948
-10001,-19828,-29529,-38855,-48924,-59461,-69762,-79782,-89979,-99859,-109795,-119899,-129934,-139468,-149612,-160048,-170357,-180385,-190191,-200259,-210215,-220143,-229600,-240538,-250117,-259945,-269771,-279693,-289744,-299055,-309033,-318953,-328664,-338100,-348635,-359115,-369140,-378831,-388844,-398942
-10534,-20960,-31175,-41239,-51789,-63110,-73979,-84693,-95434,-105930,-116435,-127082,-137777,-148088,-158708,-169693,-180691,-191406,-201897,-212597,-223022,-233450,-243539,-255181,-265475,-276055,-286453,-297137,-307751,-317866,-328367,-339022,-349373,-359210,-370281,-381430,-392018,-402300,-413028,-423793
-11032,-22157,-33128,-43756,-54842,-66852,-78387,-89790,-101142,-112337,-123271,-134518,-145773,-156781,-167934,-179670,-191259,-202637,-213720,-225089,-236144,-247072,-257831,-270307,-281078,-292355,-303305,-314516,-325789,-336347,-347533,-358679,-369676,-380036,-391635,-403559,-414911,-425681,-437129,-448587
-11766,-23386,-34946,-46156,-57880,-70213,-82476,-94550,-106560,-118228,-129886,-141900,-153635,-165307,-177180,-189561,-201783,-213865,-225528,-237377,-249078,-260621,-272228,-285358,-296673,-308343,-320167,-331847,-343773,-354909,-366738,-378536,-390095,-401079,-413213,-425604,-437549,-449072,-461159,-473095
-12126,-24251,-36371,-48216,-60453,-73276,-86258,-98866,-111436,-123881,-136102,-148900,-161326,-173583,-185998,-199024,-211849,-224398,-236689,-249166,-261385,-273376,-285678,-299368,-311341,-323542,-336042,-348432,-360982,-372792,-385182,-397695,-409807,-421430,-434134,-447078,-459795,-472008,-484723,-497145
