-920,-1733,-2385,-3173,-3918,-4868,-5669,-6504,-7429,-8212,-9051,-9969,-10746,-11595,-12282,-13053,-14007,-14804,-15652,-16368,-17076,-17764,-18551,-19437,-20250
-1659,-3304,-4672,-6243,-7794,-9379,-11031,-12804,-14451,-16252,-17943,-19683,-21350,-22757,-24403,-25851,-27582,-29221,-30850,-32423,-33901,-35454,-37128,-38697,-40460
-2379,-4903,-7053,-9513,-11741,-14046,-16492,-18988,-21343,-24029,-26629,-28988,-31522,-33817,-36358,-38240,-40789,-43006,-45371,-47650,-49972,-52417,-54750,-56778,-59455
-3404,-6781,-9625,-12993,-15920,-18982,-22216,-25362,-28473,-32168,-35415,-38637,-41966,-44888,-48370,-51103,-54373,-57402,-60674,-63618,-66675,-69963,-73459,-76058,-79342
-4167,-8261,-11856,-16394,-20002,-23835,-28070,-32106,-36011,-40394,-44642,-48755,-52755,-56543,-60967,-64780,-68993,-72802,-76754,-80688,-84687,-88901,-93028,-96477,-100541
-4920,-9818,-14134,-19529,-23861,-28500,-33610,-38589,-43380,-48611,-53605,-58639,-63490,-67930,-73065,-77675,-82983,-87495,-91940,-96709,-101584,-106611,-111492,-115917,-120660
-5702,-11417,-16481,-22760,-27737,-33196,-39067,-44658,-50121,-56117,-61894,-67511,-73272,-78635,-84449,-89774,-95732,-101090,-106285,-111893,-117831,-123604,-129140,-134529,-140076
-6487,-12912,-18987,-26043,-31811,-37887,-44614,-51151,-57404,-64263,-70934,-77337,-83900,-90074,-96720,-102697,-109231,-115435,-121532,-127970,-134653,-141261,-147621,-153725,-160036
-7239,-14457,-21436,-29506,-36325,-43110,-50627,-57929,-65005,-72572,-79800,-86994,-94340,-101332,-108789,-115624,-122758,-129836,-136611,-144042,-151556,-159118,-166200,-173144,-180232
-8009,-16225,-24041,-33009,-40629,-48191,-56593,-64761,-72610,-80916,-89031,-96978,-105294,-113281,-121748,-129288,-137266,-145178,-152675,-160967,-168999,-177281,-185166,-192827,-200594
-8797,-17874,-26241,-36053,-44587,-52883,-61949,-70855,-79396,-88528,-97221,-105944,-114876,-123593,-132893,-141102,-149888,-158425,-166541,-175853,-184487,-193598,-202448,-211143,-219641
-9304,-19195,-28339,-38978,-48486,-57568,-67464,-77085,-86548,-96382,-105885,-115259,-124906,-134430,-144568,-153415,-162914,-172108,-180981,-190869,-200351,-210396,-220249,-229883,-239239
-10068,-20583,-30471,-41607,-51878,-61908,-72693,-83134,-93452,-104161,-114474,-124700,-135127,-145430,-156553,-166192,-176720,-186665,-196297,-206920,-217209,-228018,-238564,-249051,-259363
-10802,-22061,-32597,-44573,-55744,-66548,-78122,-89265,-100459,-111991,-123242,-134152,-145623,-156754,-168592,-178959,-190272,-201033,-211415,-222912,-233762,-245209,-256574,-267837,-279058
-11498,-23484,-34900,-47647,-59523,-71243,-83570,-95448,-107343,-119895,-131826,-143705,-155960,-167818,-180379,-191649,-203806,-215582,-226979,-239128,-250789,-263062,-275327,-287331,-299348
-12433,-25120,-37293,-50828,-63624,-76163,-89280,-102023,-114682,-127919,-140462,-153250,-166050,-178786,-192256,-204292,-217281,-229818,-242022,-255018,-267536,-280785,-293769,-306427,-319314
-13226,-26651,-39506,-53891,-67525,-80837,-94800,-108186,-121737,-135545,-149163,-162741,-176381,-189919,-204454,-217180,-230874,-244164,-257226,-270989,-284111,-298126,-311950,-325274,-339030
-13923,-28084,-41721,-57000,-71231,-85395,-100100,-114234,-128659,-143261,-157647,-171904,-186339,-200500,-215770,-229218,-243579,-257460,-271568,-286050,-299997,-314895,-329596,-343889,-358620
-14827,-30059,-44598,-60742,-75922,-91107,-106470,-121392,-136576,-152151,-167491,-182726,-198014,-212791,-228876,-243011,-258136,-272935,-287650,-302848,-317462,-333173,-348549,-363314,-378924
-15599,-31325,-46880,-63899,-79782,-95739,-111937,-127769,-143737,-160048,-176100,-192151,-208060,-223655,-240538,-255864,-271776,-287407,-302922,-318953,-334356,-350855,-367119,-382668,-398942
-16346,-32746,-48924,-66843,-83470,-100174,-117078,-133631,-150531,-167494,-184533,-201409,-217971,-234264,-252066,-268290,-284972,-301599,-318100,-334851,-351000,-368168,-385278,-401602,-418697
-17085,-34333,-51221,-69877,-87471,-104987,-122678,-139870,-157580,-175462,-193236,-211023,-228398,-245507,-264195,-281294,-298850,-316171,-333439,-350943,-367697,-385644,-403660,-420822,-438781
-18004,-36185,-54044,-73396,-91899,-110165,-128582,-146417,-164975,-183762,-202315,-220821,-238878,-256728,-276386,-294025,-312448,-330489,-348315,-366591,-384174,-402829,-421573,-439463,-458263
-18635,-37399,-56059,-76168,-95449,-114423,-133805,-152538,-172016,-191498,-210950,-230143,-249053,-267777,-288213,-306426,-325714,-344620,-363290,-382482,-400737,-420196,-439553,-458308,-477745
-19212,-38678,-58051,-78787,-98866,-118664,-138973,-158590,-178816,-199024,-219082,-239042,-258728,-278134,-299368,-318311,-338489,-358192,-377651,-397695,-416807,-437032,-457248,-476978,-497145
